date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:29	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
16:12:30	15022/15022	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:42:30%20GMT	https://preview.colorlib.com/theme/beckham/	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/index.html	(from )
16:12:32	115890/115890	---M--	200	added ('OK')	image/jpeg	etag:%221c4b2-572a59e9fdb00%22	https://preview.colorlib.com/theme/beckham/images/author-2.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/author-2.jpg	(from https://preview.colorlib.com/theme/beckham/)
16:12:32	151174/151174	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquer	(from https://preview.colorlib.com/theme/beckham/)
16:12:36	15043/15043	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:42:35%20GMT	https://preview.colorlib.com/theme/beckham/index.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/index-2.html	(from https://preview.colorlib.com/theme/beckham/)
16:12:37	11320/11320	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:42:36%20GMT	https://preview.colorlib.com/theme/beckham/about.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/about.html	(from https://preview.colorlib.com/theme/beckham/)
16:12:38	6730/6730	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:42:38%20GMT	https://preview.colorlib.com/theme/beckham/services.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/services.html	(from https://preview.colorlib.com/theme/beckham/)
16:12:41	10789/10789	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:42:39%20GMT	https://preview.colorlib.com/theme/beckham/portfolio.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/portfolio.html	(from https://preview.colorlib.com/theme/beckham/)
16:12:43	9088/9088	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:42:42%20GMT	https://preview.colorlib.com/theme/beckham/blog.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/blog.html	(from https://preview.colorlib.com/theme/beckham/)
16:12:50	6849/6849	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:42:44%20GMT	https://preview.colorlib.com/theme/beckham/contact.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/contact.html	(from https://preview.colorlib.com/theme/beckham/)
16:12:59	112379/112379	---M--	200	added ('OK')	image/jpeg	etag:%221b6fb-572a59e9fdb00%22	https://preview.colorlib.com/theme/beckham/images/author-1.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/author-1.jpg	(from https://preview.colorlib.com/theme/beckham/)
16:13:00	35651/35651	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	(from https://preview.colorlib.com/theme/beckham/)
16:13:02	483/483	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20May%202021%2010:43:02%20GMT	https://preview.colorlib.com/theme/beckham/portfolio-single.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/portfolio-single.a.delayed	(from https://preview.colorlib.com/theme/beckham/)
16:13:03	55624/55624	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/images/xwork-1.jpg.pagespeed.ic.KnIz2RKbkv.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/xwork-1.jpg.pagespeed.ic.KnIz2RKbkv.jpg	(from https://preview.colorlib.com/theme/beckham/)
16:13:04	483/483	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20May%202021%2010:43:04%20GMT	https://preview.colorlib.com/theme/beckham/portfoli-singleo.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/portfoli-singleo.html	(from https://preview.colorlib.com/theme/beckham/)
16:13:04	45231/45231	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/images/xwork-2.jpg.pagespeed.ic.RA1-MwdNxN.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/xwork-2.jpg.pagespeed.ic.RA1-MwdNxN.jpg	(from https://preview.colorlib.com/theme/beckham/)
16:13:06	44148/44148	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/images/xwork-3.jpg.pagespeed.ic.iqHIdW7KcC.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/xwork-3.jpg.pagespeed.ic.iqHIdW7KcC.jpg	(from https://preview.colorlib.com/theme/beckham/)
16:13:07	47389/47389	---M--	200	added ('OK')	image/jpeg	etag:%22b91d-572a59f663840%22	https://preview.colorlib.com/theme/beckham/images/work-4.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/work-4.jpg	(from https://preview.colorlib.com/theme/beckham/)
16:13:08	36286/36286	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/images/xwork-5.jpg.pagespeed.ic.NMFWd3NHwI.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/xwork-5.jpg.pagespeed.ic.NMFWd3NHwI.jpg	(from https://preview.colorlib.com/theme/beckham/)
